Player,Team,Season,Award
LaMelo Ball,Charlotte Hornets,2020-21,First
Anthony Edwards,Minnesota Timberwolves,2020-21,First
Tyrese Haliburton,Sacramento Kings,2020-21,First
Saddiq Bey,Detroit Pistons,2020-21,First
Jae’Sean Tate,Houston Rockets,2020-21,First
Immanuel Quickley,New York Knicks,2020-21,Second
Desmond Bane,Memphis Grizzlies,2020-21,Second
Isaiah Stewart,Detroit Pistons,2020-21,Second
Isaac Okoro,Cleveland Cavaliers,2020-21,Second
Patrick Williams,Chicago Bulls,2020-21,Second
Ja Morant,Memphis Grizzlies,2019-20,First
Kendrick Nunn,Miami Heat,2019-20,First
Brandon Clarke,Memphis Grizzlies,2019-20,First
Zion Williamson,New Orleans Pelicans,2019-20,First
Eric Paschall,Golden State Warriors,2019-20,First
Tyler Herro,Miami Heat,2019-20,Second
Terence Davis II,Toronto Raptors,2019-20,Second
Coby White,Chicago Bulls,2019-20,Second
P.J. Washington Jr.,Charlotte Hornets,2019-20,Second
Rui Hachimura,Washington Wizards,2019-20,Second
Luka Doncic,Dallas Mavericks,2018-19,First
Trae Young,Atlanta Hawks,2018-19,First
Deandre Ayton,Phoenix Suns,2018-19,First
Jaren Jackson Jr.,Memphis Grizzlies,2018-19,First
Marvin Bagley III,Sacramento Kings,2018-19,First
Shai Gilgeous-Alexander,LA Clippers,2018-19,Second
Collin Sexton,Cleveland Cavaliers,2018-19,Second
Landry Shamet,LA Clippers,2018-19,Second
Mitchell Robinson,New York Knicks,2018-19,Second
Kevin Huerter,Atlanta Hawks,2018-19,Second
Kyle Kuzma,Los Angeles Lakers,2017-18,First
Lauri Markkanen,Chicago Bulls,2017-18,First
Donovan Mitchell,Utah Jazz,2017-18,First
Ben Simmons,Philadelphia 76ers,2017-18,First
Jayson Tatum,Boston Celtics,2017-18,First
Lonzo Ball,Los Angeles Lakers,2017-18,Second
Bogdan Bogdanovic,Sacramento Kings,2017-18,Second
John Collins,Atlanta Hawks,2017-18,Second
Josh Jackson,Phoenix Suns,2017-18,Second
Dennis Smith Jr.,Dallas Mavericks,2017-18,Second
Malcolm Brogdon,Milwaukee Bucks,2016-17,First
Dario Saric,Philadelphia Sixers,2016-17,First
Joel Embiid,Philadelphia Sixers,2016-17,First
Buddy Hield,Sacramento Kings,2016-17,First
Willy Hernangomez,New York Knicks,2016-17,First
Jamal Murray,Denver Nuggets,2016-17,Second
Jaylen Brown,Boston Celtics,2016-17,Second
Marquese Chriss,Phoenix Suns,2016-17,Second
Brandon Ingram,L.A. Lakers,2016-17,Second
Yogi Ferrell,Dallas Mavericks,2016-17,Second
Karl-Anthony Towns,Minnesota Timberwolves,2015-16,First
Kristaps Porzingis,New York Knicks,2015-16,First
Devin Booker,Phoenix Suns,2015-16,First
Nikola Jokic,Denver Nuggets,2015-16,First
Jahlil Okafor,Philadelphia Sixers,2015-16,First
Justise Winslow,Miami Heat,2015-16,Second
D’Angelo Russell,Los Angeles Lakers,2015-16,Second
Emmanuel Mudiay,Denver Nuggets,2015-16,Second
Myles Turner,Indiana Pacers,2015-16,Second
Willie Cauley-Stein,Sacramento Kings,2015-16,Second
Andrew Wiggins,Minnesota Timberwolves,2014-15,First
Nikola Mirotic,Denver Nuggets,2014-15,First
Nerlens Noel,Philadelphia Sixers,2014-15,First
Elfrid Payton,Orlando Magic,2014-15,First
Jordan Clarkson,Los Angeles Lakers,2014-15,First
Marcus Smart,Boston Celtics,2014-15,Second
Zach LaVine,Minnesota Timberwolves,2014-15,Second
