PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,SEASON
Malik Allen,PF-C,-%,-,-,6' 8.25'',,9' 1'',271.0,7' 2.5'',2000-2001
Harold Arceneaux,SG-SF,-%,-,-,6' 4.5'',,8' 7'',219.0,6' 8.5'',2000-2001
Lamont Barnes,PF-C,-%,-,-,6' 8.5'',,9' 0'',235.5,7' 3.5'',2000-2001
Mario Bland,PF,-%,-,-,6' 5.5'',,8' 7'',287.0,7' 0'',2000-2001
Primoz Brezec,C,-%,-,-,7' 0.75'',,9' 2'',243.0,7' 2'',2000-2001
Ernest Brown,C,-%,-,-,6' 10'',,9' 1.5'',222.5,7' 1.25'',2000-2001
Speedy Claxton,PG,-%,-,-,5' 10.5'',,7' 10.5'',166.0,6' 0'',2000-2001
Eric Coley,SG-SF,-%,-,-,6' 4'',,8' 6'',205.0,6' 11'',2000-2001
Ed Cota,PG,-%,-,-,6' 0.25'',,8' 0.5'',189.0,6' 4'',2000-2001
Schea Cotton,SF,-%,-,-,6' 4.25'',,8' 4'',219.5,6' 7'',2000-2001
Jamal Crawford,PG-SG,-%,-,-,6' 4.5'',,8' 6.5'',175.0,6' 10'',2000-2001
Caswell Cyrus,PF,-%,-,-,6' 7.75'',,8' 11.5'',220.5,7' 2'',2000-2001
Khalid El-Amin,PG,-%,-,-,5' 9'',,7' 9'',200.0,6' 1.5'',2000-2001
Vassil Evtimov,PF,-%,-,-,6' 9.75'',,8' 10.5'',262.0,6' 10.5'',2000-2001
Antonis Fotsis,SF,-%,-,-,6' 9.25'',,8' 10'',219.0,6' 8.5'',2000-2001
Eddie Gill,PG,-%,-,-,5' 11.75'',,7' 9'',176.0,6' 4'',2000-2001
Ceedric Goodwyn,SF-PF,-%,-,-,6' 6'',,8' 8.5'',238.0,6' 10'',2000-2001
Marcus Goree,SF-PF,-%,-,-,6' 7.5'',,8' 9.5'',239.0,7' 0.5'',2000-2001
A.J. Granger,SF,-%,-,-,6' 7.5'',,8' 7'',227.0,6' 9.5'',2000-2001
A.J. Guyton,PG-SG,-%,-,-,6' 0.75'',,8' 1.5'',175.0,6' 3.75'',2000-2001
Ron Hale,SG-SF,-%,-,-,6' 7.5'',,8' 8.5'',202.0,6' 11'',2000-2001
Jason Hart,PG,-%,-,-,6' 1.75'',,8' 1.5'',181.0,6' 6'',2000-2001
Donnell Harvey,PF,-%,-,-,6' 7.25'',,8' 9.5'',220.0,7' 0.5'',2000-2001
Johnny Hemsley,SG-SF,-%,-,-,6' 2.75'',,8' 4.5'',200.0,6' 8'',2000-2001
Michael Hermon,SG-PG,-%,-,-,6' 2.75'',,8' 2.5'',195.0,6' 6.25'',2000-2001
Cory Hightower,SG-SF,-%,-,-,6' 5.5'',,8' 5.5'',183.0,6' 11'',2000-2001
Shaheen Holloway,PG,-%,-,-,5' 9.5'',,7' 7'',174.0,5' 10'',2000-2001
Eddie House,SG-PG,-%,-,-,5' 11.75'',,7' 11'',176.5,6' 3.5'',2000-2001
Jimmie Hunter,SG-PG,-%,-,-,6' 3'',,8' 4'',170.0,6' 8'',2000-2001
Jacob Jaacks,PF,-%,-,-,6' 9.25'',,8' 9.5'',238.0,6' 11'',2000-2001
Marko Jaric,SG-SF,-%,-,-,6' 6.5'',,8' 8'',210.0,6' 9'',2000-2001
Nate Johnson,SF,-%,-,-,6' 6.5'',,8' 8'',211.5,6' 8.5'',2000-2001
Kenyon Jones,PF-C,-%,-,-,6' 9'',,9' 0'',282.0,7' 1'',2000-2001
Mark Karcher,SG,-%,-,-,6' 4'',,8' 6.5'',218.0,6' 8'',2000-2001
Brandon Kurtz,PF-C,-%,-,-,6' 9.5'',,8' 10.5'',257.0,6' 11.25'',2000-2001
Dan Langhi,SF,-%,-,-,6' 9'',,8' 8'',197.5,6' 8'',2000-2001
Justin Love,PG-SG,-%,-,-,6' 1.5'',,8' 1.5'',205.5,6' 4.5'',2000-2001
Mark Madsen,PF,-%,-,-,6' 8'',,8' 8.5'',236.5,7' 0.5'',2000-2001
Dan McClintock,C-PF,-%,-,-,6' 11'',,8' 11'',250.0,7' 1.5'',2000-2001
Pete Mickeal,SG-SF,-%,-,-,6' 5'',,8' 7.5'',222.0,6' 9.5'',2000-2001
Brian Montonati,PF,-%,-,-,6' 8.75'',,8' 10'',215.0,6' 10.5'',2000-2001
Gabe Muoneke,PF-SF,-%,-,-,6' 6.25'',,8' 9'',244.0,7' 0.5'',2000-2001
Ndongo N'diaye,C,-%,-,-,6' 11.5'',,9' 4.5'',208.0,7' 3.5'',2000-2001
Eduardo Najera,PF-SF,-%,-,-,6' 6.5'',,8' 8.5'',234.5,6' 11.5'',2000-2001
Matthew Nielsen,PF,-%,-,-,6' 9'',,8' 10'',223.0,6' 10.5'',2000-2001
Chris Porter,SF-PF,-%,-,-,6' 5.5'',,8' 7.5'',214.0,6' 9.5'',2000-2001
Lavor Postell,SG,-%,-,-,6' 4.5'',,8' 5.5'',205.0,6' 8.5'',2000-2001
Igor Rakocevic,PG,-%,-,-,6' 2.5'',,8' 4'',184.0,6' 5.25'',2000-2001
Reed Rawlings,SG-SF,-%,-,-,6' 6.25'',,8' 8'',218.0,6' 9.25'',2000-2001
Michael Redd,SG-SF,-%,-,-,6' 4.75'',,8' 6'',214.0,6' 9'',2000-2001
Damon Reed,PF-C,-%,-,-,6' 8.5'',,8' 8.5'',228.0,6' 9.5'',2000-2001
Aubrey Reese,PG,-%,-,-,5' 10.75'',,7' 10.5'',189.0,6' 5.5'',2000-2001
Terrance Roberson,SF,-%,-,-,6' 5.5'',,8' 7.5'',209.0,6' 8'',2000-2001
Julius Doc Robinson,PG,-%,-,-,6' 0'',,7' 11.5'',184.0,6' 3.75'',2000-2001
Pepe Sanchez,PG,-%,-,-,6' 3'',,8' 0'',194.0,6' 3.5'',2000-2001
Matt Santangelo,PG,-%,-,-,6' 0'',,7' 10'',177.0,6' 3'',2000-2001
Alex Scales,SG-PG,-%,-,-,6' 2.25'',,8' 1.5'',184.5,6' 9'',2000-2001
Karim Shabazz,C,-%,-,-,6' 11.5'',,9' 3.5'',224.0,7' 3'',2000-2001
Nick Sheppard,PF-C,-%,-,-,6' 9.5'',,8' 11.5'',273.0,6' 11'',2000-2001
Mike Smith,SF,-%,-,-,6' 6.5'',,8' 7'',198.0,6' 8.5'',2000-2001
Jabari Smith,PF-C,-%,-,-,6' 9.75'',,9' 1.5'',240.5,7' 2.5'',2000-2001
Jarrett Stephens,PF,-%,-,-,6' 5.25'',,8' 7'',258.0,6' 9.25'',2000-2001
Bootsy Thornton,SG,-%,-,-,6' 3.5'',,8' 5.5'',194.5,6' 6.5'',2000-2001
Jaquay Walls,PG,-%,-,-,6' 1.25'',,8' 0.5'',165.5,6' 2.5'',2000-2001
Jameel Watkins,PF-C,-%,-,-,6' 9.5'',,9' 2'',244.5,7' 6'',2000-2001
Adam Allenspach,C,12.40%,-,-,6' 11.5'',,8' 11'',259.0,7' 0.5'',2001-2002
Gilbert Arenas,SG,5.30%,-,-,6' 2.25'',,8' 3.5'',199.0,6' 9.5'',2001-2002
Brandon Armstrong,SG,9.30%,-,-,6' 3.5'',,8' 3.5'',188.0,6' 9.5'',2001-2002
Shane Battier,SF-PF,9.30%,-,-,6' 8.25'',,8' 9'',229.0,6' 10.5'',2001-2002
Cookie Belcher,SG-PG,5.30%,-,-,6' 3'',,8' 3'',206.0,6' 8.5'',2001-2002
Charlie Bell,PG,6.70%,-,-,6' 2.5'',,8' 1.5'',200.0,6' 7.5'',2001-2002
Ruben Boumtje-Boumtje,C,6.00%,-,-,6' 11.5'',,9' 3'',245.0,7' 4'',2001-2002
Calvin Bowman,PF,8.60%,-,-,6' 8.75'',,8' 8'',214.0,6' 11.5'',2001-2002
Michael Bradley,PF,9.30%,-,-,6' 9.5'',,8' 11'',227.0,7' 1.5'',2001-2002
Jamison Brewer,PG,6.70%,-,-,6' 2.5'',,8' 6.5'',178.0,6' 8.75'',2001-2002
Kwame Brown,PF-C,8.90%,-,-,6' 10'',,9' 0'',243.0,7' 1'',2001-2002
SirValiant Brown,PG,6.70%,-,-,5' 11'',,7' 8.5'',176.0,6' 4'',2001-2002
Damone Brown,SF,6.70%,-,-,6' 8.25'',,8' 8.5'',202.0,6' 11.75'',2001-2002
Ryan Carroll,SF-SG,8.00%,-,-,6' 4'',,8' 3'',202.0,6' 8.25'',2001-2002
Tyson Chandler,SF-PF,6.70%,-,-,6' 11.5'',,9' 2'',224.0,7' 3'',2001-2002
Eric Chenowith,C,12.90%,-,-,7' 1'',,9' 3'',264.0,7' 4'',2001-2002
Sam Clancy,PF,8.00%,-,-,6' 6.25'',,8' 11'',242.0,7' 2.75'',2001-2002
Gyasi Cline-Heard,PF,8.00%,-,-,6' 6.25'',,8' 7'',231.0,6' 11.5'',2001-2002
Jason Collins,PF-C,12.90%,-,-,6' 10.25'',,9' 2'',251.0,7' 4.5'',2001-2002
Jarron Collins,C-PF,15.20%,-,-,6' 9.25'',,8' 8'',252.0,7' 3'',2001-2002
Omar Cook,PG,5.50%,-,-,5' 11.5'',,7' 8'',189.0,6' 5.5'',2001-2002
Eddy Curry,C,16.50%,-,-,6' 10.5'',,9' 3'',301.0,7' 6.5'',2001-2002
Tate Decker,SF,13.60%,-,-,6' 9.25'',,8' 11'',218.0,6' 11.75'',2001-2002
DeSagana Diop,C,21.00%,-,-,6' 10'',,9' 5'',314.0,7' 6.5'',2001-2002
Robb Dryden,C,8.00%,-,-,7' 1'',,9' 2.25'',241.0,7' 2.5'',2001-2002
Anthony Evans,PF,12.90%,-,-,6' 6'',,8' 5.5'',267.0,6' 11.5'',2001-2002
Maurice Evans,SG,4.00%,-,-,6' 4.25'',,8' 5'',221.0,6' 8'',2001-2002
Benjamin Eze,C-PF,3.90%,-,-,6' 8.75'',,9' 1'',232.0,7' 6'',2001-2002
Kimani Ffriend,C-PF,11.70%,-,-,6' 9.5'',,9' 0.5'',228.0,6' 10.75'',2001-2002
Alton Ford,PF,8.00%,-,-,6' 8.25'',,8' 6.5'',271.0,6' 10.5'',2001-2002
Joseph Forte,SG,-%,-,-,6' 3.5'',,8' 4.5'',193.0,6' 6.5'',2001-2002
Jason Gardner,PG,8.00%,-,-,5' 9.75'',,7' 8.5'',188.0,6' 1.25'',2001-2002
Jerry Green,PG-SG,5.50%,-,-,6' 1.5'',,8' 3'',179.0,6' 6.25'',2001-2002
Kenny Gregory,SF,6.70%,-,-,6' 3.5'',,8' 5'',200.0,6' 11.25'',2001-2002
Eddie Griffin,PF-SF,4.00%,-,-,6' 9.25'',,9' 2'',222.0,7' 3'',2001-2002
Trenton Hassell,SG-SF,5.30%,-,-,6' 4.25'',,8' 3.5'',205.0,6' 8'',2001-2002
Kirk Haston,PF-SF,10.50%,-,-,6' 8'',,8' 10'',242.0,7' 0.25'',2001-2002
