PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Tony Allen,SG,6.70%,-,-,6' 3.5'',6' 4.25'',8' 6'',214.0,6' 9''
Trevor Ariza,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201.0,7' 2''
Andre Barrett,PG,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171.0,6' 1''
Brandon Bass,PF,9.30%,-,-,6' 6.25'',6' 7.25'',8' 10.5'',246.0,7' 2.5''
Andris Biedrins,C,9.30%,-,-,,,,-,
Tony Bobbitt,SG,7.30%,-,-,6' 2.75'',6' 4'',8' 4'',185.0,6' 7''
Brian Boddicker,SF-PF,11.20%,-,-,6' 7.5'',6' 8.75'',8' 9.5'',230.0,6' 10''
Tim Bowers,PG-SG,2.60%,-,-,6' 0.5'',6' 1.75'',8' 2'',181.0,6' 9''
Andre Brown,PF-C,6.00%,-,-,6' 8'',6' 9.5'',8' 11'',236.0,6' 11''
Antonio Burks,PG,9.90%,-,-,6' 0'',6' 0.75'',8' 0.5'',191.0,6' 6.5''
Jackie Butler,C,16.30%,-,-,6' 8'',6' 9.5'',9' 1'',263.0,7' 1.5''
Aleksandar Capin,PG,9.30%,-,-,6' 0'',6' 1.25'',7' 10'',176.0,6' 1.5''
Ales Chan,C,14.80%,-,-,7' 0'',7' 2'',9' 5'',255.0,7' 3''
Josh Childress,SG-SF,9.30%,-,-,6' 5.75'',6' 7.25'',8' 9'',196.0,6' 11''
TJ Cummings,SF,6.70%,-,-,6' 7.5'',6' 8.75'',8' 10.5'',215.0,6' 9.5''
Erik Daniels,SF-PF,18.50%,-,-,6' 6.25'',6' 7.5'',8' 10'',223.0,6' 11''
Luol Deng,SF,6.70%,-,-,6' 7'',6' 8'',9' 0.5'',220.0,7' 0.5''
Marcus Douthit,C-PF,13.70%,-,-,6' 9.5'',6' 11'',9' 3.5'',223.0,7' 4''
Chris Duhon,PG,6.70%,-,-,6' 0'',6' 1.25'',8' 2'',193.0,6' 6.5''
John Edwards,C,14.10%,-,-,6' 11.25'',7' 1'',9' 5'',264.0,7' 4.5''
Andre Emmett,SG-SF,6.70%,-,-,6' 3.5'',6' 4.5'',8' 4'',216.0,6' 9''
Desmon Farmer,SG,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7'',214.0,6' 8.5''
Luis Flores,PG-SG,6.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',202.0,6' 7.5''
Matt Freije,SF-PF,10.80%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',234.0,7' 1''
Chris Garnett,C-PF,14.80%,-,-,6' 8.25'',6' 9.75'',9' 0'',260.0,7' 1''
Ryan Gomes,SF-PF,-%,-,-,6' 6.5'',6' 7.75'',8' 10.5'',248.0,7' 2''
Ben Gordon,PG-SG,5.30%,-,-,6' 1'',6' 2.25'',8' 3'',192.0,6' 8.5''
Devin Harris,PG,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170.0,6' 7.5''
Dwight Howard,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240.0,7' 4.5''
Rolando Howell,PF,11.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',229.0,7' 0.5''
Kris Humphries,PF,6.70%,-,-,6' 8.25'',6' 9.5'',8' 10.5'',238.0,7' 0.5''
Andre Iguodala,SG-SF,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',217.0,6' 11''
Martin Iti,C-PF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 3.5'',233.0,7' 5''
Luke Jackson,SF-SG,8.00%,-,-,6' 6'',6' 7'',8' 7'',212.0,6' 8.5''
Al Jefferson,PF-SF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263.0,7' 2.5''
Arthur Johnson,PF-C,16.30%,-,-,6' 7'',6' 8.5'',9' 1'',262.0,7' 3''
Ivan Koljevic,PG,6.70%,-,-,6' 1'',6' 2'',7' 11'',172.0,6' 2.5''
Herve Lamizana,SF-PF,6.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',210.0,7' 1.5''
Sergei Lishouk,PF-SF,10.50%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',244.0,7' 0''
Shaun Livingston,PG-SG,6.70%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',186.0,6' 11''
Jaime Lloreda,PF,9.90%,-,-,6' 6.75'',6' 8.5'',8' 11'',247.0,6' 9.5''
Bryant Matthews,SF-SG,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',206.0,7' 0.5''
Marcus Melvin,SF-PF,10.50%,-,-,6' 6.75'',6' 8.5'',8' 9.5'',241.0,7' 0''
Rich Melzer,PF-SF,12.40%,-,-,6' 7.5'',6' 8.75'',8' 11'',229.0,7' 2''
Ricky Minard,PG-SG,8.00%,-,-,6' 3.25'',6' 4.25'',8' 5.5'',198.0,6' 7''
James Moore,PF-SF,8.00%,-,-,6' 6.5'',6' 8'',8' 11'',198.0,7' 0.5''
Marcus Moore,PG-SG,14.80%,-,-,6' 4'',6' 5.25'',8' 5.5'',202.0,6' 9''
Michel Morandais,SG-SF,8.60%,-,-,6' 3.75'',6' 4.75'',8' 6'',205.0,6' 11.5''
Jameer Nelson,PG,8.00%,-,-,5' 11'',6' 0.5'',7' 11'',199.0,6' 2.5''
Misan Nikagbatse,SG-PG,12.90%,-,-,6' 3.5'',6' 4.75'',8' 6'',223.0,6' 10''
Emeka Okafor,C-PF,5.30%,-,-,6' 8.75'',6' 10'',9' 2.5'',257.0,7' 4''
Randall Orr,PF-SF,6.70%,-,-,6' 9'',6' 10.75'',8' 11.5'',193.0,6' 10.5''
Dylan Page,SF,12.30%,-,-,6' 7.5'',6' 8.75'',8' 9'',239.0,6' 7''
Drago Pasalic,PF,12.90%,-,-,6' 9.25'',6' 10.75'',9' 0'',231.0,6' 11.5''
Rickey Paulding,SG,5.30%,-,-,6' 2.75'',6' 4'',8' 5.5'',210.0,6' 9.5''
Kelvin Pena,SG-PG,8.60%,-,-,6' 2.25'',6' 3.25'',8' 3.5'',182.0,6' 6.5''
Tim Pickett,PG-SG,6.00%,-,-,6' 3'',6' 4.25'',8' 4.5'',207.0,6' 7.5''
Omar Quintero,PG,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170.0,5' 11.5''
Peter Ramos,C,6.70%,-,-,7' 1.75'',7' 3.25'',9' 3.5'',266.0,7' 5.5''
Jared Reiner,C-PF,12.90%,-,-,6' 10'',6' 11.75'',9' 1'',246.0,7' 0.5''
Lawrence Roberts,PF,9.30%,-,-,6' 7.5'',6' 9'',8' 10.5'',233.0,6' 9.5''
Bernard Robinson,SG-SF,6.00%,-,-,6' 5.25'',6' 6.5'',8' 6'',208.0,6' 10''
Nate Robinson,PG,6.70%,-,-,5' 7.75'',5' 9'',7' 7.5'',181.0,6' 1''
Aerick Sanders,PF,6.70%,-,-,6' 6.5'',6' 7.5'',8' 10'',205.0,6' 11.5''
Romain Sato,SG,6.00%,-,-,6' 2'',6' 3.25'',8' 6.5'',204.0,6' 11''
Blagota Sekulic,SF-PF,9.30%,-,-,6' 9.25'',6' 10.5'',8' 11'',234.0,6' 11''
Josh Smith,SG-SF,6.70%,-,-,6' 7'',6' 8.25'',8' 10.5'',221.0,7' 0''
J.R. Smith,SG-SF,6.70%,-,-,6' 5.5'',6' 6.75'',8' 8'',227.0,6' 10''
Kirk Snyder,SG-SF,9.30%,-,-,6' 6'',6' 6.75'',8' 8'',228.0,6' 9''
Pape Sow,PF-C,9.30%,-,-,6' 8.5'',6' 10'',9' 0.5'',233.0,7' 2''
Tiago Splitter,C-PF,5.30%,-,-,6' 10.25'',6' 11.75'',9' 1.5'',233.0,7' 2''
Blake Stepp,PG,8.00%,-,-,,,,-,
Tom Timmerrmans,PF-C,15.20%,-,-,6' 10.5'',6' 11.5'',8' 11.5'',272.0,6' 11''
Marko Tomas,SG-PG,9.30%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',198.0,6' 7''
Beno Udrih,PG,9.30%,-,-,6' 2.5'',6' 3.75'',8' 2'',199.0,6' 4.5''
Jackson Vroman,PF-C,6.70%,-,-,6' 9.25'',6' 10.75'',8' 9.5'',226.0,7' 0''
Delonte West,PG-SG,6.70%,-,-,6' 1.5'',6' 2.75'',8' 3.5'',183.0,6' 6''
Damien Wilkins,SG-SF,7.30%,-,-,6' 4.5'',6' 6'',8' 10'',222.0,7' 0''
Mike Williams,SF,9.30%,-,-,6' 5.5'',6' 6.5'',8' 9.5'',197.0,6' 11.5''
Nate Williams,PF-SF,12.40%,-,-,6' 8.5'',6' 10'',9' 1.5'',240.0,7' 1.5''
