Player,Round Number,Round Pick,Overall Pick,Year
Jim McDonald,21,1,100,1960
Willie Horton,21,1,214,1968
Tony Wilcox,20,1,99,1960
Stan McKain,20,3,218,1969
Jim Plump,20,1,216,1969
Rich Rirkendal,20,1,212,1968
Ron Woodruff,20,2,213,1968
Roland West,20,1,162,1967
Carl Rodwell,20,2,217,1969
Phil Tollestrop,20,1,211,1973
Gene Visscher,19,1,112,1966
Rick Erickson,19,1,237,1970
George Spencer,19,1,161,1967
Ed Jenkins,19,2,237,1971
Jim LaCour,19,3,210,1968
Gary Schneider,19,1,236,1971
Allen Waller,19,2,238,1970
Tom Austin,19,2,210,1973
Grady O'Malley,19,3,214,1969
Solomon Davis,19,1,212,1969
Rich Mason,19,2,209,1968
Blaine Royer,19,2,213,1969
Mark Gabriel,19,3,239,1970
Bill Corley,19,1,208,1968
Larry Willey,19,1,98,1960
Ron Thornson,19,1,209,1973
Brian Heaney,19,4,215,1969
Jay Reffords,19,4,211,1968
Ken Hall,18,2,208,1969
Jerry Trice,18,1,111,1966
Chip Case,18,5,211,1969
Jerry Southwood,18,1,160,1967
Bruce Butchko,18,2,235,1970
Harold Grant,18,1,204,1968
Joe Pridgen,18,3,209,1969
Don Johnston,18,1,207,1973
Al Nuness,18,1,207,1969
Ron Manning,18,1,198,1972
Peter Gavitt,18,2,208,1973
Don Mills,18,1,96,1960
John Cannon,18,3,236,1970
Art Kenny,18,3,206,1968
Larry Humes,18,4,207,1968
Ike Bundy,18,3,235,1971
Joey Meyer,18,1,233,1971
Bob Zoretich,18,2,205,1968
George Krajick,18,2,97,1960
Jeff Cunningham,18,1,234,1970
Carlos Quintanar,18,2,234,1971
Cliff Parsons,18,4,210,1969
Nate Ware,17,6,203,1968
Tony Prince,17,1,203,1973
Lynn Phillips,17,2,202,1969
Dave Miller,17,1,198,1968
John Thornton,17,1,197,1972
Steve Sims,17,2,231,1971
Vince Fritz,17,4,233,1970
Loy Peterson,17,1,157,1967
Gary Paulk,17,3,159,1967
Steve Howell,17,4,204,1969
Bob Thate,17,3,232,1970
John Tolmie,17,5,205,1969
John Powell,17,1,87,1958
Nelson Isley,17,1,230,1971
Lamont King,17,4,206,1973
Milt Williams,17,5,202,1968
Steve Honeycutt,17,3,203,1969
Chris Pervall,17,1,110,1966
Roger Taylor,17,1,109,1965
Darryll Meachem,17,2,158,1967
Leroy Jenkins,17,3,232,1971
Greg Morris,17,3,200,1968
Bob Peterson,17,2,231,1970
John Howard,17,4,201,1968
Tom Benedict,17,2,199,1968
Howie Dickerman,17,1,201,1969
Tandy Gillis,17,2,95,1960
Tom Haggart,17,6,206,1969
Jim Garvin,17,2,204,1973
Phil Elderkin,17,3,205,1973
Dennis Dickens,17,1,230,1970
Ernie McCray,17,1,94,1960
Mike Eberle,16,6,195,1968
Vance Tyree,16,1,225,1971
Ken Barnes,16,2,109,1966
Wayne Chapman,16,4,156,1967
Dean Olofson,16,1,223,1970
Joe Crews,16,8,197,1968
Jerry Schofield,16,2,93,1960
Phil Harris,16,6,200,1969
Bob Ferguson,16,5,194,1968
Willie Porter,16,4,108,1965
Larry Robinson,16,1,199,1973
Doug Williams,16,4,226,1970
Bill Voigt,16,2,196,1969
Dick Groves,16,4,198,1969
Dennis Blace,16,3,192,1968
Norman Bounds,16,2,194,1972
Norman Majors,16,1,99,1962
John Green,16,2,200,1973
Leonard Jackson,16,3,227,1971
Gary Williams,16,1,153,1967
Bunk Adams,16,1,105,1965
Gene Jordan,16,1,92,1960
Don Rather,16,7,229,1970
Mike Peterson,16,3,195,1972
John Vermelyea,16,3,155,1967
Danny Cornett,16,3,197,1969
Charles Hall,16,4,196,1972
Chuck Caldwell,16,1,190,1968
James Douglas,16,2,226,1971
Bob Bissant,16,5,229,1971
Fred Holden,16,2,191,1968
Buddy Cornelius,16,5,199,1969
Tom O'Connor,16,3,201,1973
Jimmy Dawson,16,2,154,1967
Stephen Wilson,16,5,227,1970
Paul Favorite,16,3,225,1970
Pete Walthour,16,6,228,1970
Larry Rafferty,16,2,106,1965
Harvey Mariatt,16,2,224,1970
Bob Tolan,16,3,107,1965
Fred Smiley,16,4,228,1971
Jack McCarthy,16,1,86,1958
Wayne Huckel,16,1,195,1969
Wally Roundsville,16,2,100,1962
Mose Adolph,16,1,193,1972
Eddie Jackson,16,1,108,1966
Sam Barber,16,4,202,1973
Terry Allerton,16,7,196,1968
Dick Harris,16,4,193,1968
Will Teague,15,8,221,1970
Larry Baker,15,1,217,1971
Mike Drepling,15,4,185,1968
Mike Neer,15,3,216,1970
Jay Bond,15,1,214,1970
Rich Haubeggar,15,1,188,1972
Paul Long,15,1,106,1966
Loyd King,15,8,224,1971
Norm Carmichael,15,5,193,1969
Sherman Dillard,15,4,151,1967
Jerry Nickens,15,4,192,1969
Reese Stovall,15,3,196,1973
Bob Beamon,15,1,189,1969
Greg Lowery,15,5,192,1972
Mickey McCarthy,15,2,183,1968
Bill Gaines,15,1,182,1968
