Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim McDonald <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",West Virginia Wesleyan,1960,21,1,100
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Willie Horton <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Delaware,1968,21,1,214
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tony Wilcox <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Wittenberg,1960,20,1,99
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Stan McKain <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Southern University,1969,20,3,218
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim Plump <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Northern Arizona,1969,20,1,216
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rich Rirkendal <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Norfolk State,1968,20,1,212
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ron Woodruff <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Midwestern State,1968,20,2,213
"<!----><a ng-href=""/stats/player/78499/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78499/""> Roland West <!----> <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Cincinnati,1967,20,1,162
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Carl Rodwell <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",California-Riverside,1969,20,2,217
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Phil Tollestrop <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Brigham Young,1973,20,1,211
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gene Visscher <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Weber State,1966,19,1,112
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rick Erickson <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Washington State,1970,19,1,237
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> George Spencer <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Washington,1967,19,1,161
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ed Jenkins <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Shaw,1971,19,2,237
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim LaCour <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Seattle,1968,19,3,210
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gary Schneider <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",San Diego State,1971,19,1,236
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Allen Waller <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Saint Mary (KS),1970,19,2,238
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tom Austin <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Massachusetts,1973,19,2,210
