Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Draft Participant,Combine Participant,All Rookie Team,Overall Pick
1,Chris Paul,2005-06,20,NOK,NBA,10.4,78,78,2808,407,947,357,770,50,177,394,465,61,339,400,611,175,6,183,218,1258,0.43,0.46,0.28,0.46,0.85,0.55,1,1,True,4
2,Blake Griffin,2010-11,21,LAC,NBA,9.8,82,82,3112,696,1376,689,1352,7,24,446,695,270,719,989,312,63,45,223,252,1845,0.51,0.51,0.29,0.51,0.64,0.55,1,1,True,1
3,Ben Simmons,2017-18,21,PHI,NBA,9.2,81,81,2732,544,998,544,987,0,11,191,341,145,514,659,661,140,70,278,211,1279,0.55,0.55,0.0,0.55,0.56,0.56,1,0,True,1
4,Yao Ming,2002-03,22,HOU,NBA,8.7,82,72,2382,401,805,400,803,1,2,301,371,196,479,675,137,31,147,173,230,1104,0.5,0.5,0.5,0.5,0.81,0.57,1,0,True,1
5,Karl-Anthony Towns,2015-16,20,MIN,NBA,8.3,82,82,2627,625,1153,595,1065,30,88,223,275,229,629,858,161,58,138,183,245,1503,0.54,0.56,0.34,0.56,0.81,0.59,1,0,True,1
6,Pau Gasol,2001-02,21,MEM,NBA,7.6,82,79,3007,551,1064,550,1059,1,5,338,477,238,492,730,223,41,169,224,195,1441,0.52,0.52,0.2,0.52,0.71,0.57,1,0,True,3
7,Dwight Howard,2004-05,19,ORL,NBA,7.3,82,82,2670,352,677,352,675,0,2,277,413,287,536,823,75,77,136,165,232,981,0.52,0.52,0.0,0.52,0.67,0.57,1,1,True,1
8,Andrei Kirilenko,2001-02,20,UTA,NBA,7.3,82,40,2151,285,633,260,533,25,100,285,371,149,253,402,94,116,159,108,156,880,0.45,0.49,0.25,0.47,0.77,0.55,1,0,True,24
9,Jayson Tatum,2017-18,19,BOS,NBA,7.1,80,80,2438,397,835,292,593,105,242,213,258,50,352,402,128,83,58,114,170,1112,0.48,0.49,0.43,0.54,0.83,0.59,1,0,True,3
11,Andre Iguodala,2004-05,21,PHI,NBA,6.6,82,82,2686,269,546,222,404,47,142,156,210,89,375,464,246,138,48,139,204,741,0.49,0.55,0.33,0.54,0.74,0.58,1,1,True,9
